PLAYER_NAME,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y
Brittney Griner,Mid-Range,Left Side Center(LC),16-24 ft.,16,-95,140
Natasha Howard,Mid-Range,Left Side Center(LC),16-24 ft.,17,-63,158
Alanna Smith,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-67,54
Breanna Stewart,Restricted Area,Center(C),Less Than 8 ft.,3,-21,23
Sami Whitcomb,Above the Break 3,Right Side Center(RC),24+ ft.,24,182,158
Jewell Loyd,Above the Break 3,Left Side Center(LC),24+ ft.,25,-194,166
Jewell Loyd,Above the Break 3,Left Side Center(LC),24+ ft.,23,-113,211
Sami Whitcomb,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-14,38
Kia Vaughn,Mid-Range,Center(C),16-24 ft.,20,-25,199
Mercedes Russell,Mid-Range,Right Side(R),8-16 ft.,11,81,79
Brittney Griner,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-56,54
Jewell Loyd,Left Corner 3,Left Side(L),24+ ft.,22,-226,-7
Alysha Clark,Mid-Range,Right Side(R),8-16 ft.,13,130,11
Alysha Clark,Above the Break 3,Right Side Center(RC),24+ ft.,23,218,95
Sami Whitcomb,Restricted Area,Center(C),Less Than 8 ft.,3,-31,10
Alanna Smith,Mid-Range,Left Side(L),16-24 ft.,16,-167,-2
Jordin Canada,Mid-Range,Center(C),16-24 ft.,18,-20,188
Brittney Griner,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,29
Diana Taurasi,Above the Break 3,Left Side Center(LC),24+ ft.,23,-156,182
Jordin Canada,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-48,34
Diana Taurasi,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-14,55
Sami Whitcomb,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,32,44
Diana Taurasi,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,64,31
Breanna Stewart,Above the Break 3,Right Side Center(RC),24+ ft.,26,159,207
Skylar Diggins-Smith,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-8,66
Breanna Stewart,Above the Break 3,Left Side Center(LC),24+ ft.,25,-146,215
Breanna Stewart,Above the Break 3,Center(C),24+ ft.,27,-79,259
Skylar Diggins-Smith,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-37,36
Jewell Loyd,Above the Break 3,Center(C),24+ ft.,27,-71,266
Brittney Griner,Restricted Area,Center(C),Less Than 8 ft.,3,15,34
Diana Taurasi,Above the Break 3,Left Side Center(LC),24+ ft.,27,-96,254
Mercedes Russell,Mid-Range,Left Side(L),8-16 ft.,11,-104,41
Brittney Griner,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,4,60
Nia Coffey,Above the Break 3,Right Side Center(RC),24+ ft.,24,196,150
Jewell Loyd,Above the Break 3,Right Side Center(RC),24+ ft.,25,194,165
Brittney Griner,Mid-Range,Right Side(R),8-16 ft.,8,89,0
Nia Coffey,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,64,-1
Sophie Cunningham,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-41,26
Brittney Griner,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,68,50
Cheyenne Parker,Restricted Area,Center(C),Less Than 8 ft.,3,-31,17
Allie Quigley,Above the Break 3,Center(C),24+ ft.,25,-24,251
Jasmine Thomas,Above the Break 3,Left Side Center(LC),24+ ft.,23,-169,170
Allie Quigley,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,24
Kahleah Copper,Mid-Range,Right Side Center(RC),16-24 ft.,16,121,113
Jasmine Thomas,Mid-Range,Left Side(L),16-24 ft.,19,-191,-10
Courtney Vandersloot,Right Corner 3,Right Side(R),24+ ft.,22,227,7
Allie Quigley,Above the Break 3,Left Side Center(LC),24+ ft.,25,-93,233
DeWanna Bonner,Restricted Area,Center(C),Less Than 8 ft.,3,-30,7
Allie Quigley,Restricted Area,Center(C),Less Than 8 ft.,2,21,15
Kaila Charles,Restricted Area,Center(C),Less Than 8 ft.,3,26,21
DeWanna Bonner,Restricted Area,Center(C),Less Than 8 ft.,3,-28,17
Jasmine Thomas,Above the Break 3,Left Side Center(LC),24+ ft.,24,-119,209
Sydney Colson,In The Paint (Non-RA),Center(C),8-16 ft.,8,17,82
DeWanna Bonner,Restricted Area,Center(C),Less Than 8 ft.,3,-24,20
Bria Holmes,Restricted Area,Center(C),Less Than 8 ft.,3,-33,10
Diamond DeShields,Restricted Area,Center(C),Less Than 8 ft.,1,10,-7
Diamond DeShields,Left Corner 3,Left Side(L),24+ ft.,22,-228,3
Kaila Charles,Above the Break 3,Left Side Center(LC),24+ ft.,25,-217,136
Diamond DeShields,Mid-Range,Center(C),16-24 ft.,20,44,199
Gabby Williams,Restricted Area,Center(C),Less Than 8 ft.,3,-3,39
Azurá Stevens,Restricted Area,Center(C),Less Than 8 ft.,1,13,11
Diamond DeShields,Restricted Area,Center(C),Less Than 8 ft.,2,-28,-9
Kaila Charles,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,22,39
Azurá Stevens,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Jasmine Thomas,Mid-Range,Left Side Center(LC),16-24 ft.,17,-87,149
Jasmine Thomas,Mid-Range,Center(C),16-24 ft.,16,-13,167
Kahleah Copper,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,32,30
Gabby Williams,Restricted Area,Center(C),Less Than 8 ft.,3,27,29
Brionna Jones,Restricted Area,Center(C),Less Than 8 ft.,2,-27,5
Courtney Vandersloot,Restricted Area,Center(C),Less Than 8 ft.,3,25,28
Alyssa Thomas,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,39,22
Kaila Charles,Mid-Range,Right Side(R),8-16 ft.,14,141,-5
DeWanna Bonner,Restricted Area,Center(C),Less Than 8 ft.,2,-25,15
Azurá Stevens,Restricted Area,Center(C),Less Than 8 ft.,2,10,18
Brionna Jones,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,24,41
Allie Quigley,Mid-Range,Left Side(L),8-16 ft.,15,-145,60
Brionna Jones,Restricted Area,Center(C),Less Than 8 ft.,3,-19,33
Kahleah Copper,Above the Break 3,Left Side Center(LC),24+ ft.,25,-136,211
Jasmine Thomas,Above the Break 3,Right Side Center(RC),24+ ft.,25,180,175
Natisha Hiedeman,Above the Break 3,Left Side Center(LC),24+ ft.,26,-128,228
Kahleah Copper,Above the Break 3,Right Side Center(RC),24+ ft.,24,75,228
Jasmine Thomas,Restricted Area,Center(C),Less Than 8 ft.,3,-23,29
Allie Quigley,Restricted Area,Center(C),Less Than 8 ft.,2,-15,22
Alyssa Thomas,Restricted Area,Center(C),Less Than 8 ft.,3,5,35
Bria Holmes,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,3
Bria Holmes,In The Paint (Non-RA),Center(C),8-16 ft.,13,35,130
Allie Quigley,Above the Break 3,Right Side Center(RC),24+ ft.,24,146,201
Bria Holmes,Above the Break 3,Right Side Center(RC),24+ ft.,24,197,141
Cheyenne Parker,Restricted Area,Center(C),Less Than 8 ft.,3,-22,23
Diamond DeShields,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,29,31
Diamond DeShields,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Alyssa Thomas,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-40,30
Gabby Williams,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,31,33
DeWanna Bonner,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,41,28
Jasmine Thomas,Above the Break 3,Left Side Center(LC),24+ ft.,24,-90,231
DeWanna Bonner,Mid-Range,Center(C),16-24 ft.,18,-9,185
Cheyenne Parker,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,29,32
Alyssa Thomas,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,35,34
Bria Holmes,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,31,31
Allie Quigley,Mid-Range,Center(C),8-16 ft.,15,68,142
Cheyenne Parker,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,35,71
Brionna Jones,Restricted Area,Center(C),Less Than 8 ft.,3,13,36
Jasmine Thomas,In The Paint (Non-RA),Center(C),8-16 ft.,13,-54,119
Kahleah Copper,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,22
Beatrice Mompremier,Restricted Area,Center(C),Less Than 8 ft.,3,-24,29
Theresa Plaisance,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,39,34
Layshia Clarendon,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-48,29
Leaonna Odom,Restricted Area,Center(C),Less Than 8 ft.,3,31,10
Angel McCoughtry,Restricted Area,Center(C),Less Than 8 ft.,1,5,18
Lindsay Allen,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,25
Leaonna Odom,Restricted Area,Center(C),Less Than 8 ft.,1,2,10
Kia Nurse,Restricted Area,Center(C),Less Than 8 ft.,2,-25,-1
Lindsay Allen,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,20
Kiah Stokes,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,21
A'ja Wilson,Mid-Range,Right Side Center(RC),16-24 ft.,18,61,170
Amanda Zahui B,Above the Break 3,Left Side Center(LC),24+ ft.,23,-108,214
Amanda Zahui B,Above the Break 3,Center(C),24+ ft.,24,25,244
Layshia Clarendon,Restricted Area,Center(C),Less Than 8 ft.,3,-26,18
Jazmine Jones,Restricted Area,Center(C),Less Than 8 ft.,1,-13,4
Danielle Robinson,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,49,3
Joyner Holmes,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-59,16
A'ja Wilson,Restricted Area,Center(C),Less Than 8 ft.,3,0,38
A'ja Wilson,Mid-Range,Right Side Center(RC),16-24 ft.,18,142,115
Dearica Hamby,Restricted Area,Center(C),Less Than 8 ft.,3,27,29
Megan Walker,Restricted Area,Center(C),Less Than 8 ft.,2,1,26
Dearica Hamby,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,72,25
Jackie Young,Restricted Area,Center(C),Less Than 8 ft.,2,9,20
Leaonna Odom,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,58,0
A'ja Wilson,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-61,40
Dearica Hamby,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,3
Jackie Young,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,16,50
Amanda Zahui B,Above the Break 3,Center(C),24+ ft.,24,-65,236
Amanda Zahui B,Above the Break 3,Left Side Center(LC),24+ ft.,24,-231,90
Jackie Young,Mid-Range,Center(C),16-24 ft.,16,48,158
Layshia Clarendon,Restricted Area,Center(C),Less Than 8 ft.,3,-35,16
A'ja Wilson,Restricted Area,Center(C),Less Than 8 ft.,3,-28,19
Layshia Clarendon,Above the Break 3,Center(C),24+ ft.,24,50,235
Joyner Holmes,Mid-Range,Center(C),16-24 ft.,16,47,161
Amanda Zahui B,Above the Break 3,Left Side Center(LC),24+ ft.,25,-195,164
Amanda Zahui B,Above the Break 3,Center(C),24+ ft.,23,-19,237
Jackie Young,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-24,40
Kiah Stokes,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-46,6
Danielle Robinson,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-25,32
Kiah Stokes,Restricted Area,Center(C),Less Than 8 ft.,3,-22,24
Jackie Young,Mid-Range,Left Side Center(LC),16-24 ft.,16,-97,133
Megan Walker,Mid-Range,Left Side Center(LC),16-24 ft.,16,-71,146
A'ja Wilson,Mid-Range,Right Side Center(RC),16-24 ft.,19,103,160
Jocelyn Willoughby,Restricted Area,Center(C),Less Than 8 ft.,3,-39,6
Dearica Hamby,Left Corner 3,Left Side(L),24+ ft.,23,-234,2
Layshia Clarendon,In The Paint (Non-RA),Center(C),8-16 ft.,11,57,99
A'ja Wilson,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-42,20
Joyner Holmes,Right Corner 3,Right Side(R),24+ ft.,23,232,20
Joyner Holmes,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,48,20
Jackie Young,Mid-Range,Right Side(R),8-16 ft.,13,113,82
Kayla McBride,Mid-Range,Center(C),16-24 ft.,17,45,166
Kia Nurse,Above the Break 3,Right Side Center(RC),24+ ft.,25,81,239
Angel McCoughtry,Restricted Area,Center(C),Less Than 8 ft.,3,-14,28
A'ja Wilson,Mid-Range,Center(C),16-24 ft.,17,36,168
Layshia Clarendon,Above the Break 3,Center(C),24+ ft.,27,24,271
A'ja Wilson,Mid-Range,Center(C),8-16 ft.,15,7,156
Angel McCoughtry,Mid-Range,Right Side(R),8-16 ft.,14,121,72
A'ja Wilson,Restricted Area,Center(C),Less Than 8 ft.,2,15,20
Candice Dupree,Mid-Range,Right Side(R),16-24 ft.,17,179,-17
Emma Meesseman,Mid-Range,Right Side(R),8-16 ft.,10,98,43
Tiffany Mitchell,Mid-Range,Center(C),8-16 ft.,15,8,157
Emma Meesseman,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,33,31
Julie Allemand,Above the Break 3,Right Side Center(RC),24+ ft.,24,141,201
Leilani Mitchell,Above the Break 3,Right Side Center(RC),24+ ft.,24,167,179
Emma Meesseman,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,35,20
Candice Dupree,In The Paint (Non-RA),Center(C),8-16 ft.,9,-10,92
Kelsey Mitchell,Above the Break 3,Center(C),16-24 ft.,23,39,233
Emma Meesseman,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,75,31
Candice Dupree,Restricted Area,Center(C),Less Than 8 ft.,1,-10,13
Myisha Hines-Allen,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-43,17
Tiffany Mitchell,Mid-Range,Center(C),8-16 ft.,15,6,157
Leilani Mitchell,Above the Break 3,Right Side Center(RC),24+ ft.,27,110,254
Emma Meesseman,Restricted Area,Center(C),Less Than 8 ft.,3,-4,38
Kelsey Mitchell,Restricted Area,Center(C),Less Than 8 ft.,2,-10,20
Teaira McCowan,Restricted Area,Center(C),Less Than 8 ft.,1,-14,11
Ariel Atkins,Above the Break 3,Right Side Center(RC),24+ ft.,25,125,227
Kennedy Burke,Restricted Area,Center(C),Less Than 8 ft.,3,-5,34
Teaira McCowan,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Essence Carson,Above the Break 3,Center(C),24+ ft.,26,0,260
Kelsey Mitchell,Restricted Area,Center(C),Less Than 8 ft.,2,-24,10
Kennedy Burke,Above the Break 3,Right Side Center(RC),24+ ft.,24,142,205
Emma Meesseman,Restricted Area,Center(C),Less Than 8 ft.,2,-4,22
Julie Allemand,Above the Break 3,Right Side Center(RC),24+ ft.,24,178,170
Kelsey Mitchell,Mid-Range,Right Side(R),16-24 ft.,17,151,96
Julie Allemand,Above the Break 3,Left Side Center(LC),24+ ft.,24,-176,166
Kelsey Mitchell,Above the Break 3,Right Side Center(RC),24+ ft.,24,184,167
Kelsey Mitchell,Restricted Area,Center(C),Less Than 8 ft.,3,36,9
Candice Dupree,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,-18
Emma Meesseman,In The Paint (Non-RA),Center(C),8-16 ft.,12,-50,113
Myisha Hines-Allen,Restricted Area,Center(C),Less Than 8 ft.,2,3,20
Myisha Hines-Allen,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,17,61
Kelsey Mitchell,Above the Break 3,Right Side Center(RC),24+ ft.,25,215,129
Myisha Hines-Allen,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,48,15
Ariel Atkins,Mid-Range,Left Side(L),8-16 ft.,15,-111,113
Kelsey Mitchell,Above the Break 3,Left Side Center(LC),24+ ft.,25,-145,207
Teaira McCowan,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Julie Allemand,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-39,31
Leilani Mitchell,Mid-Range,Left Side(L),16-24 ft.,19,-193,21
Candice Dupree,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Kennedy Burke,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,47,40
Tianna Hawkins,Above the Break 3,Center(C),16-24 ft.,23,11,230
Kennedy Burke,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-39,-16
Tianna Hawkins,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Myisha Hines-Allen,In The Paint (Non-RA),Center(C),8-16 ft.,9,48,87
Kiara Leslie,Above the Break 3,Left Side Center(LC),24+ ft.,24,-85,232
Teaira McCowan,In The Paint (Non-RA),Center(C),8-16 ft.,8,-6,83
Tiffany Mitchell,Mid-Range,Left Side(L),8-16 ft.,14,-145,7
Leilani Mitchell,Restricted Area,Center(C),Less Than 8 ft.,2,7,20
Tiffany Mitchell,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-7,58
Tianna Hawkins,Above the Break 3,Left Side Center(LC),24+ ft.,24,-158,181
Emma Meesseman,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,53
Tianna Hawkins,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Tianna Hawkins,Restricted Area,Center(C),Less Than 8 ft.,3,31,15
Chelsea Gray,Mid-Range,Left Side Center(LC),16-24 ft.,18,-63,170
Nneka Ogwumike,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-43,10
Damiris Dantas,Above the Break 3,Left Side Center(LC),24+ ft.,26,-128,227
Napheesa Collier,Mid-Range,Left Side(L),8-16 ft.,11,-87,79
Chelsea Gray,Mid-Range,Right Side(R),8-16 ft.,13,87,103
Sydney Wiese,Restricted Area,Center(C),Less Than 8 ft.,2,-22,15
Sydney Wiese,Restricted Area,Center(C),Less Than 8 ft.,2,-8,20
Bridget Carleton,Mid-Range,Left Side(L),16-24 ft.,20,-206,15
Napheesa Collier,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,23
Te'a Cooper,Restricted Area,Center(C),Less Than 8 ft.,2,-14,21
Seimone Augustus,Above the Break 3,Right Side Center(RC),24+ ft.,24,218,113
Marie Gülich,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,4
Riquna Williams,Mid-Range,Left Side(L),16-24 ft.,19,-192,-11
Damiris Dantas,Above the Break 3,Right Side Center(RC),24+ ft.,25,121,227
Crystal Dangerfield,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-64,1
Chelsea Gray,Above the Break 3,Right Side Center(RC),24+ ft.,24,218,108
Damiris Dantas,Above the Break 3,Center(C),24+ ft.,26,-40,261
Riquna Williams,Above the Break 3,Left Side Center(LC),24+ ft.,23,-191,142
Erica McCall,Restricted Area,Center(C),Less Than 8 ft.,0,-6,7
Candace Parker,Mid-Range,Right Side(R),16-24 ft.,18,176,70
Damiris Dantas,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,36,22
Candace Parker,Mid-Range,Left Side(L),8-16 ft.,11,-115,-12
Nneka Ogwumike,Above the Break 3,Right Side Center(RC),24+ ft.,25,169,185
Seimone Augustus,Restricted Area,Center(C),Less Than 8 ft.,1,12,-3
Seimone Augustus,Above the Break 3,Right Side Center(RC),24+ ft.,24,153,188
Bridget Carleton,Above the Break 3,Right Side Center(RC),24+ ft.,24,206,124
Napheesa Collier,Restricted Area,Center(C),Less Than 8 ft.,1,0,13
Candace Parker,Mid-Range,Right Side Center(RC),16-24 ft.,19,136,145
Lexie Brown,Restricted Area,Center(C),Less Than 8 ft.,3,35,9
Sydney Wiese,Left Corner 3,Left Side(L),24+ ft.,23,-233,27
Damiris Dantas,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,26,39
Seimone Augustus,In The Paint (Non-RA),Center(C),8-16 ft.,13,-8,130
Bridget Carleton,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,35,-22
Sydney Wiese,Restricted Area,Center(C),Less Than 8 ft.,3,24,23
Bridget Carleton,Left Corner 3,Left Side(L),24+ ft.,23,-238,13
Sydney Wiese,Above the Break 3,Right Side Center(RC),24+ ft.,25,221,120
Lexie Brown,Mid-Range,Center(C),8-16 ft.,15,11,155
Crystal Dangerfield,Restricted Area,Center(C),Less Than 8 ft.,0,-8,4
Crystal Dangerfield,Above the Break 3,Left Side Center(LC),24+ ft.,23,-192,141
Crystal Dangerfield,Mid-Range,Right Side Center(RC),16-24 ft.,19,112,156
Te'a Cooper,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-70,92
Bridget Carleton,Above the Break 3,Left Side(L),24+ ft.,23,-221,64
Seimone Augustus,Mid-Range,Left Side(L),8-16 ft.,14,-146,-9
Crystal Dangerfield,Restricted Area,Center(C),Less Than 8 ft.,1,-15,6
Riquna Williams,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,11,49
Riquna Williams,Above the Break 3,Left Side Center(LC),24+ ft.,26,-196,174
Candace Parker,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Marie Gülich,Restricted Area,Center(C),Less Than 8 ft.,2,28,9
Riquna Williams,Above the Break 3,Center(C),24+ ft.,25,64,242
Candace Parker,Restricted Area,Center(C),Less Than 8 ft.,2,10,18
Crystal Dangerfield,Restricted Area,Center(C),Less Than 8 ft.,2,26,10
Marie Gülich,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-28,46
Brittney Sykes,Restricted Area,Center(C),Less Than 8 ft.,2,17,15
Riquna Williams,Above the Break 3,Left Side(L),24+ ft.,23,-231,54
Chelsea Gray,Restricted Area,Center(C),Less Than 8 ft.,3,37,-2
Crystal Dangerfield,Above the Break 3,Center(C),24+ ft.,24,1,242
Erica McCall,Above the Break 3,Center(C),24+ ft.,24,2,243
Crystal Dangerfield,Above the Break 3,Left Side Center(LC),24+ ft.,23,-96,219
Kristine Anigwe,Restricted Area,Center(C),Less Than 8 ft.,3,28,12
Crystal Dangerfield,Restricted Area,Center(C),Less Than 8 ft.,3,-36,13
Kristine Anigwe,Restricted Area,Center(C),Less Than 8 ft.,0,-2,8
Brittney Sykes,Above the Break 3,Right Side Center(RC),24+ ft.,27,204,185
Sydney Wiese,Above the Break 3,Right Side Center(RC),24+ ft.,25,128,221
Riquna Williams,Above the Break 3,Right Side Center(RC),24+ ft.,25,121,228
Jasmine Thomas,Restricted Area,Center(C),Less Than 8 ft.,2,2,29
Shekinna Stricklen,Above the Break 3,Left Side Center(LC),24+ ft.,24,-125,212
Alyssa Thomas,Restricted Area,Center(C),Less Than 8 ft.,2,-22,12
Brionna Jones,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Shekinna Stricklen,Above the Break 3,Left Side Center(LC),24+ ft.,24,-97,227
Shekinna Stricklen,Above the Break 3,Left Side Center(LC),24+ ft.,25,-113,233
Alyssa Thomas,Restricted Area,Center(C),Less Than 8 ft.,2,-21,6
Elizabeth Williams,Restricted Area,Center(C),Less Than 8 ft.,2,25,13
Alyssa Thomas,Restricted Area,Center(C),Less Than 8 ft.,1,-17,-1
Shekinna Stricklen,Above the Break 3,Center(C),24+ ft.,26,69,254
DeWanna Bonner,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,74,32
Courtney Williams,In The Paint (Non-RA),Center(C),8-16 ft.,11,43,105
Alyssa Thomas,In The Paint (Non-RA),Center(C),8-16 ft.,10,-47,97
Betnijah Laney,Above the Break 3,Left Side Center(LC),24+ ft.,24,-218,113
Alyssa Thomas,Restricted Area,Center(C),Less Than 8 ft.,1,19,1
Jasmine Thomas,Restricted Area,Center(C),Less Than 8 ft.,2,-24,0
Courtney Williams,Mid-Range,Left Side Center(LC),16-24 ft.,20,-140,152
DeWanna Bonner,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Courtney Williams,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,72,44
Bria Holmes,Above the Break 3,Right Side Center(RC),16-24 ft.,23,162,168
Jasmine Thomas,Mid-Range,Right Side(R),8-16 ft.,15,142,70
Shekinna Stricklen,Above the Break 3,Left Side(L),16-24 ft.,23,-209,101
Jasmine Thomas,Left Corner 3,Left Side(L),24+ ft.,22,-228,16
Bria Holmes,Above the Break 3,Right Side Center(RC),16-24 ft.,23,136,190
Natisha Hiedeman,Above the Break 3,Right Side Center(RC),24+ ft.,23,173,163
Monique Billings,Restricted Area,Center(C),Less Than 8 ft.,3,-13,28
Kaila Charles,Above the Break 3,Right Side(R),24+ ft.,23,225,72
Kaila Charles,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,46,22
Glory Johnson,Above the Break 3,Left Side(L),16-24 ft.,23,-195,127
Alyssa Thomas,Mid-Range,Right Side(R),8-16 ft.,13,86,108
Elizabeth Williams,Restricted Area,Center(C),Less Than 8 ft.,3,24,22
Shekinna Stricklen,Above the Break 3,Right Side Center(RC),24+ ft.,24,91,229
Brionna Jones,Restricted Area,Center(C),Less Than 8 ft.,3,-11,29
Brionna Jones,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Elizabeth Williams,Restricted Area,Center(C),Less Than 8 ft.,3,25,18
Brionna Jones,Restricted Area,Center(C),Less Than 8 ft.,3,-19,28
Courtney Williams,In The Paint (Non-RA),Center(C),8-16 ft.,8,-28,83
Natisha Hiedeman,In The Paint (Non-RA),Left Side(L),8-16 ft.,13,-74,109
Alyssa Thomas,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-37,31
Elizabeth Williams,Restricted Area,Center(C),Less Than 8 ft.,2,14,20
DeWanna Bonner,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Brionna Jones,Restricted Area,Center(C),Less Than 8 ft.,3,19,27
Courtney Williams,Restricted Area,Center(C),Less Than 8 ft.,3,26,27
Alyssa Thomas,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,26,31
Alyssa Thomas,Restricted Area,Center(C),Less Than 8 ft.,2,21,18
DeWanna Bonner,Restricted Area,Center(C),Less Than 8 ft.,2,-12,17
Alyssa Thomas,Restricted Area,Center(C),Less Than 8 ft.,2,-22,14
DeWanna Bonner,Above the Break 3,Right Side Center(RC),24+ ft.,24,171,175
Courtney Williams,In The Paint (Non-RA),Left Side(L),8-16 ft.,14,-80,117
Jasmine Thomas,Restricted Area,Center(C),Less Than 8 ft.,1,-4,19
Kalani Brown,Restricted Area,Center(C),Less Than 8 ft.,2,25,2
Kaleena Mosqueda-Lewis,Above the Break 3,Right Side Center(RC),24+ ft.,24,139,203
Kalani Brown,Restricted Area,Center(C),Less Than 8 ft.,2,-22,11
Kalani Brown,In The Paint (Non-RA),Center(C),8-16 ft.,14,-39,136
Bria Holmes,Above the Break 3,Center(C),24+ ft.,24,72,239
Natisha Hiedeman,Above the Break 3,Left Side Center(LC),24+ ft.,25,-137,212
Kalani Brown,Restricted Area,Center(C),Less Than 8 ft.,2,-25,12
Alexis Jones,Above the Break 3,Left Side Center(LC),16-24 ft.,23,-85,216
Beatrice Mompremier,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Beatrice Mompremier,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Alexis Jones,Above the Break 3,Left Side Center(LC),16-24 ft.,23,-86,216
Blake Dietrick,Restricted Area,Center(C),Less Than 8 ft.,2,-19,7
Alexis Jones,Above the Break 3,Left Side Center(LC),24+ ft.,23,-185,152
Jaylyn Agnew,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,39,22
Brittany Brewer,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Kalani Brown,Restricted Area,Center(C),Less Than 8 ft.,3,-33,-1
